Object Number,Mnemonic,Classification,Artist,Alpha Sort,Title Sort,Date,Begin Date,Medium,Dimensions,Extended Medium,Credit Line
31.14a-b,PC,Sculpture,Hunt Diederich,Diederich Hunt,Playing Dogs,(c. 1916),1916,Bronze on marble base,"Overall: 13 1/8 x 30 1/8 x 9 3/4in. (33.3 x 76.5 x 24.8 cm)
Overall (with base): 15 1/4 x 30 1/4 x 11in. (38.7 x 76.8 x 27.9 cm)",,Purchase
31.15,PC,Sculpture,Abastenia St. Leger Eberle,Eberle Abastenia St. Leger,Roller Skating,(c. 1906),1906,Bronze,Overall: 12 7/8 x 11 5/8 x 6 3/8in. (32.7 x 29.5 x 16.2 cm),,Gift of Gertrude Vanderbilt Whitney
31.16a-b,PC,Sculpture,Alfeo Faggi,Faggi Alfeo,Three Nudes,-1911,1911,Bronze relief,"Overall: 5 1/4 x 8 5/8 x 1/4in. (13.3 x 21.9 x 0.6 cm)
Overall (with base): 6 3/8 x 11 7/8 x 1in., 3.3lb. (16.2 x 30.2 x 2.5 cm, 1.5kg)",,Purchase
31.17,PC,Sculpture,Duncan Ferguson,Ferguson Duncan,Squirrel,(c. 1930),1930,Mahogany,Overall: 16 3/4 x 8 3/4 x 7 7/8in. (42.5 x 22.2 x 20 cm),,Gift of Gertrude Vanderbilt Whitney
31.18,PC,Sculpture,Paul Fiene,Fiene Paul,Fish,-1929,1929,Marble,Overall: 9 3/8 x 27 3/8 x 8 3/8in. (23.8 x 69.5 x 21.3 cm),,Purchase
31.20a-b,PC,Sculpture,Paul Fiene,Fiene Paul,Reclining Figure,-1927,1927,Bronze on stone base,Overall: 12 1/8 x 20 1/4 x 7 1/8in. (30.8 x 51.4 x 18.1 cm),,Purchase
31.21,PC,Sculpture,Paul Fiene,Fiene Paul,Snail,1929,1929,Limestone,Overall: 8 1/4 x 19 1/4 x 10 3/4in. (21 x 48.9 x 27.3 cm),,Purchase
31.22,PC,Sculpture,John B. Flannagan,Flannagan John B.,Chimpanzee,-1928,1928,Granite,Overall: 10 5/8 x 6 7/8 x 8in. (27 x 17.5 x 20.3 cm),,Gift of Gertrude Vanderbilt Whitney
31.24,PC,Sculpture,John B. Flannagan,Flannagan John B.,Elephant,1929-1930,1929,Sandstone,Overall: 13 3/8 x 14 1/2 x 7 1/2in. (34 x 36.8 x 19.1 cm),Bluestone,Gift of Gertrude Vanderbilt Whitney
31.25,PC,Sculpture,Daniel Chester French,French Daniel Chester,Standing Lincoln,1912,1912,Bronze,Overall: 37 1/2 x 13 x 10 3/8in. (95.3 x 33 x 26.4 cm),,Gift of Gertrude Vanderbilt Whitney
31.26,PC,Sculpture,Sherry Fry,Fry Sherry,Seated Woman,(c. 1931),1931,Bronze,Overall: 15 7/8 x 10 x 4 7/8in. (40.3 x 25.4 x 12.4 cm),,Gift of Gertrude Vanderbilt Whitney
31.27,PC,Sculpture,Eugenie Gershoy,Gershoy Eugenie,Figure,-1930,1930,Alabaster,Overall: 17 3/8 x 9 3/4 x 7 1/8in. (44.1 x 24.8 x 18.1 cm),,Gift of Gertrude Vanderbilt Whitney
31.28a-b,PC,Sculpture,Charles Grafly,Grafly Charles,"Head of ""War""",1921,1921,Bronze on marble base,"Overall: 15 13/16 x 8 15/16 x 9 3/4in. (40.2 x 22.7 x 24.8 cm)
Overall (with base): 22 11/16 x 8 15/16 x 9 3/4in. (57.6 x 22.7 x 24.8 cm)",,Purchase
31.33a-d,PC,Sculpture,Herbert Haseltine,Haseltine Herbert,Meadowbrook Team,1909,1909,Bronze,Overall: 68in. (172.7 cm),,Gift of Gertrude Vanderbilt Whitney
31.34,PC,Sculpture,Herbert Haseltine,Haseltine Herbert,Un Puyazo,1912,1912,Bronze,"Overall: 22 x 23 1/8 x 16 1/2in., 112.4lb. (55.9 x 58.7 x 41.9 cm, 51kg)",,Gift of Gertrude Vanderbilt Whitney
31.35,PC,Sculpture,Herbert Haseltine,Haseltine Herbert,Ralla,1910,1910,Bronze,"Overall: 20 3/16 x 31 3/16 x 9 13/16in. (51.3 x 79.2 x 24.9 cm)
Overall (with base): 24 1/8 x 31 3/16 x 11 1/16in. (61.3 x 79.2 x 28.1 cm)",,Gift of Gertrude Vanderbilt Whitney
31.36,PC,Sculpture,Malvina Hoffman,Hoffman Malvina,Pavlowa,-1915,1915,Bronze,"Overall: 13 3/4in. (34.9 cm)
Base: 4 1/4in. (10.8 cm)",,Gift of Gertrude Vanderbilt Whitney
31.37,PC,Sculpture,Cecil de Blaquiere Howard,Howard Cecil de Blaquiere,Leaning Figure,(c. 1929),1929,Bronze,Overall: 30 11/16 x 14 7/8 x 9 3/4in. (77.9 x 37.8 x 24.8 cm),,Gift of Gertrude Vanderbilt Whitney
31.38,PC,Sculpture,Cecil de Blaquiere Howard,Howard Cecil de Blaquiere,Mother and Child,-1918,1918,Limestone,Overall: 21 3/4 x 13 3/8 x 8 1/4in. (55.2 x 34 x 21 cm),,Gift of Gertrude Vanderbilt Whitney
31.39,PC,Sculpture,Grace Mott Johnson,Johnson Grace Mott,Calf Stretching,-1907,1907,Bronze,Overall: 11 1/4 x 11 5/8 x 5in. (28.6 x 29.5 x 12.7 cm),,Gift of Gertrude Vanderbilt Whitney
31.41,PC,Sculpture,Gaston Lachaise,Lachaise Gaston,Dolphin Fountain,1924,1924,Bronze,"Overall: 17 x 39 1/2 x 24 1/4in., 96lb. (43.2 x 100.3 x 61.6 cm)",,Gift of Gertrude Vanderbilt Whitney
31.42a-b,PC,Sculpture,Gaston Lachaise,Lachaise Gaston,Head,1926,1926,Nickel plated bronze,"Overall: 13 3/8 x 8 7/8 x 13 1/2in. (34 x 22.5 x 34.3 cm)
Overall (with base): 17 3/8 x 8 7/8 x 13 1/2in. (44.1 x 22.5 x 34.3 cm)",,Purchase
31.43a-b,PC,Sculpture,Gaston Lachaise,Lachaise Gaston,Seal,1921,1921,Bronze on stone base,"Overall: 11 x 14 1/2 x 9 5/8in. (27.9 x 36.8 x 24.4 cm)
Overall (with base): 13 x 15 3/8 x 10 7/8in. (33 x 39.1 x 27.6 cm)",,Purchase
31.44,PC,Sculpture,Robert Laurent,Laurent Robert,The Awakening,-1931,1931,Bronze,Overall: 39 1/16 x 54 3/4 x 28 3/4in. (99.2 x 139.1 x 73 cm),,Purchase
31.45,PC,Sculpture,Robert Laurent,Laurent Robert,Duck,-1926,1926,Cocobolo,Overall: 6 x 13 7/8 x 7 3/8in. (15.2 x 35.2 x 18.7 cm),,Gift of Gertrude Vanderbilt Whitney
31.47a-b,PC,Sculpture,Robert Laurent,Laurent Robert,Rabbit,c. 1921,1921,Painted wood,"Overall: 5 1/8 x 11 3/16 x 5 5/8in. (13 x 28.4 x 14.3 cm)
Overall (with base): 7 5/8 x 12 13/16 x 6 1/2in. (19.4 x 32.5 x 16.5 cm)",,Gift of Gertrude Vanderbilt Whitney
31.48a-b,PC,Sculpture,Robert Laurent,Laurent Robert,Woman's Head,-1917,1917,Walnut,"Overall: 7 3/4 x 4 x 3 3/4in. (19.7 x 10.2 x 9.5 cm)
Overall (with base): 8 3/4 x 4 1/2 x 3 3/4in. (22.2 x 11.4 x 9.5 cm)",,Gift of Gertrude Vanderbilt Whitney
31.49,PC,Sculpture,Arthur Lee,Lee Arthur,Ethiopian,1912,1912,Bronze,Overall: 28 1/8 x 12 x 10in. (71.4 x 30.5 x 25.4 cm),,Gift of Gertrude Vanderbilt Whitney
31.5,PC,Sculpture,Florence Lucius,Lucius Florence,Standing Figure,(c. 1920),1915,Bronze,Overall: 31 7/8 x 11 3/8 x 10in. (81 x 28.9 x 25.4 cm),,Gift of Gertrude Vanderbilt Whitney
31.51,PC,Sculpture,Florence Lucius,Lucius Florence,Woman Draped,(c. 1926),1921,Limestone,Overall: 16 x 8 1/2 x 4in. (40.6 x 21.6 x 10.2 cm),,Gift of Gertrude Vanderbilt Whitney
31.55,PC,Sculpture,Bruce Moore,Moore Bruce,Panther,1929,1929,Bronze,Overall: 14 3/8 x 43 1/4 x 4 11/16in. (36.5 x 109.9 x 11.9 cm),,Purchase
31.56,PC,Sculpture,Reuben Nakian,Nakian Reuben,The Lap Dog,1927,1927,Terra cotta,Overall: 6 1/2 x 10 3/4 x 5 1/2in. (16.5 x 27.3 x 14 cm),,Gift of Gertrude Vanderbilt Whitney
31.57,PC,Sculpture,Reuben Nakian,Nakian Reuben,Seal,1930,1930,Bronze,Overall: 17 1/8 x 14 x 7 1/2in. (43.5 x 35.6 x 19.1 cm),,Gift of Gertrude Vanderbilt Whitney
31.58,PC,Sculpture,Isamu Noguchi,Noguchi Isamu,Ruth Parks,1929,1929,Bronze,"Overall: 15 13/16 x 7 3/16 x 10 1/4in. (40.2 x 18.3 x 26 cm)
Overall (with base): 20 11/16 x 7 3/16 x 10 1/4in. (52.5 x 18.3 x 26 cm)",,Purchase
31.67a-b,PC,Sculpture,Albin Polasek,Polasek Albin,Head of a Man,1920,1920,Bronze,"Overall: 14 3/16 x 7 x 9 1/4in. (36 x 17.8 x 23.5 cm)
Overall (with base): 17 1/8 x 7 x 9 1/4in. (43.5 x 17.8 x 23.5 cm)",,Gift of Gertrude Vanderbilt Whitney
31.71,PC,Sculpture,Lincoln Rothschild,Rothschild Lincoln,Mother and Child,-1931,1931,Wood,Overall: 25 5/8 x 16 3/16 x 12 3/4in. (65.1 x 41.1 x 32.4 cm),,Purchase
31.72,PC,Sculpture,Charles Cary Rumsey,Rumsey Charles Cary,Pagan Kin,n.d.,0,Bronze,Overall: 7 5/8 x 12 5/8 x 6 3/4in. (19.4 x 32.1 x 17.1 cm),,Gift of Gertrude Vanderbilt Whitney
31.73a-b,PC,Sculpture,Cesare Stea,Stea Cesare,Masque,1926,1926,Terra-cotta on painted wood base,"Overall: 8 1/4 x 6 7/8 x 5 11/16in. (21 x 17.5 x 14.4 cm)
Overall (with base): 14 3/4 x 7 3/8 x 5 11/16in. (37.5 x 18.7 x 14.4 cm)",,Gift of Gertrude Vanderbilt Whitney
31.75a-b,PC,Sculpture,Polygnotos Vagis,Vagis Polygnotos,Head of Woman,-1931,1931,Bronze,"Overall: 11 1/8 x 7 1/4 x 9 7/8in. (28.3 x 18.4 x 25.1 cm)
Overall (with base): 15 5/8 x 7 1/4 x 9 7/8in. (39.7 x 18.4 x 25.1 cm)",,Purchase
31.76,PC,Sculpture,Carl Walters,Walters Carl,Bull,1927,1927,Ceramic,Overall: 8 5/8 x 15 3/4 x 4 7/8in. (21.9 x 40 x 12.4 cm),,Gift of Gertrude Vanderbilt Whitney
31.77,PC,Sculpture,Carl Walters,Walters Carl,Stallion,1924,1924,Ceramic,Overall: 10 1/4 x 10 1/2 x 4 1/4in. (26 x 26.7 x 10.8 cm),,Gift of Gertrude Vanderbilt Whitney
31.78a-b,PC,Sculpture,Gertrude Vanderbilt Whitney,Whitney Gertrude Vanderbilt,Fountain,1913,1913,Bronze,Overall: 45 x 43 3/8in. (114.3 x 110.2 cm),,Gift of the artist
31.79,PC,Sculpture,Gertrude Vanderbilt Whitney,Whitney Gertrude Vanderbilt,Chinoise,-1914,1914,Limestone,Overall: 61 x 20 1/4 x 17in. (154.9 x 51.4 x 43.2 cm),,Gift of the artist
31.8,PC,Sculpture,Gertrude Vanderbilt Whitney,Whitney Gertrude Vanderbilt,Despair,-1912,1912,Stone,"Overall: 9 7/8 x 10 5/16 x 7 5/16in. (25.1 x 26.2 x 18.6 cm)
Overall (with base): 14 3/4 x 13 9/16 x 10 1/2in. (37.5 x 34.4 x 26.7 cm)",,Gift of the artist
31.81,PC,Sculpture,Gertrude Vanderbilt Whitney,Whitney Gertrude Vanderbilt,Head for Titanic Memorial,1922,1922,Seravezza marble head,"Overall: 12 3/4 x 8 1/8 x 9 5/8in. (32.4 x 20.6 x 24.4 cm)
Overall (with base): 19 x 8 1/8 x 9 5/8in. (48.3 x 20.6 x 24.4 cm)",,Gift of the artist
31.82,PC,Sculpture,Mahonri M. Young,Young Mahonri M.,Groggy,-1926,1926,Bronze,Overall: 14 1/8 x 8 1/4 x 8 1/4in. (35.9 x 21 x 21 cm),,Gift of Gertrude Vanderbilt Whitney
31.83,PC,Sculpture,Mahonri M. Young,Young Mahonri M.,The Ouessantine Shepherdess,1926-1927,1926,Bronze,Overall: 9 1/2in. (24.1 cm),,Gift of Gertrude Vanderbilt Whitney
31.84,PC,Sculpture,Mahonri M. Young,Young Mahonri M.,Man with Wheelbarrow,1915,1915,Bronze,Overall: 11 3/4 x 15 1/8 x 5 3/4in. (29.8 x 38.4 x 14.6 cm),,Gift of Gertrude Vanderbilt Whitney
31.86,PC,Sculpture,William Zorach,Zorach William,Bunny,-1930,1930,Stone,"Overall: 4 5/8 x 8 7/8 x 5 3/16in. (11.7 x 22.5 x 13.2 cm)
Overall (Legacy dims in TMS - OLD): 5 x 8 3/8 x 4 3/4in., 222.7lb. (12.7 x 21.3 x 12.1 cm, 101kg)",Granite,Gift of Gertrude Vanderbilt Whitney
31.87a-b,PC,Sculpture,William Zorach,Zorach William,Draped Figure,1927,1927,Bronze on wood base,"Overall: 13 1/8 x 2 1/2 x 3in. (33.3 x 6.4 x 7.6 cm)
Overall (with base): 17 1/8 x 6 1/4 x 6 1/4in. (43.5 x 15.9 x 15.9 cm)",,Gift of Gertrude Vanderbilt Whitney
31.88a-b,PC,Sculpture,William Zorach,Zorach William,Pegasus,1925,1925,Wood,"Overall: 14 13/16 x 13 x 7 9/16in. (37.6 x 33 x 19.2 cm)
Overall (with base): 16 3/8 x 13 1/2 x 7 3/4in. (41.6 x 34.3 x 19.7 cm)",,Gift of Juliana Force
31.89,PC,Paintings,Edmund Archer,Archer Edmund,Buying Flowers,1930,1930,Oil on canvas,Overall: 31 x 26 1/16in. (78.7 x 66.2 cm),,Purchase
31.92,PC,Paintings,Gifford R. Beal,Beal Gifford R.,Fisherman,-1928,1928,Oil on linen,Overall: 36 1/4 x 48 1/4in. (92.1 x 122.6 cm),,Gift of Gertrude Vanderbilt Whitney
31.93,PC,Paintings,Gifford R. Beal,Beal Gifford R.,Irish Girl,-1930,1930,Oil on composition board,Overall: 24 x 17 15/16in. (61 x 45.6 cm),,Purchase
31.94,PC,Paintings,Gifford R. Beal,Beal Gifford R.,Lawn Fete,1917,1917,Oil on plywood,Overall: 24 x 36in. (61 x 91.4 cm),,Gift of Gertrude Vanderbilt Whitney
31.95,PC,Paintings,George Bellows,Bellows George,Dempsey and Firpo,-1924,1924,Oil on canvas,Overall: 51 1/8 x 63 1/4in. (129.9 x 160.7 cm),,"Purchase, with funds from Gertrude Vanderbilt Whitney"
31.96,PC,Paintings,George Bellows,Bellows George,Floating Ice,1910,1910,Oil on canvas,Overall: 45 x 63in. (114.3 x 160 cm),,Gift of Gertrude Vanderbilt Whitney
31.98,PC,Paintings,Ben Benn,Benn Ben,Mother and Child,1915,1915,Oil on linen,Overall: 36 3/16 x 27 1/4in. (91.9 x 69.2 cm),,Gift of Gertrude Vanderbilt Whitney
31.99,PC,Paintings,Thomas Hart Benton,Benton Thomas Hart,Martha's Vineyard,-1925,1925,Oil on canvas,Overall: 15 3/4 x 20in. (40 x 50.8 cm),,Gift of Gertrude Vanderbilt Whitney
31.1,PC,Paintings,Thomas Hart Benton,Benton Thomas Hart,The Lord is my Shepherd,-1926,1926,Tempera and oil on canvas,"Overall: 33 3/8 x 27 7/16in. (84.8 x 69.7 cm)
Image: 32 5/8 x 26 3/4in. (82.9 x 67.9 cm)",,Purchase
31.101,PC,Paintings,Arnold Blanch,Blanch Arnold,Bouquet,(c. 1920),1915,Oil on linen,Overall: 24 1/8 x 18 3/16in. (61.3 x 46.2 cm),,Gift of Gertrude Vanderbilt Whitney
31.104,PC,Paintings,Arnold Blanch,Blanch Arnold,Portrait of a Woman,(c. 1929),1924,Oil and ink on linen,Overall: 36 1/4 x 25 3/4in. (92.1 x 65.4 cm),,Gift of Gertrude Vanderbilt Whitney
31.106,PC,Paintings,Arnold Blanch,Blanch Arnold,The Port of Kingston,(c. 1920),1920,Oil on canvas,Overall: 22 1/16 x 30 1/8in. (56 x 76.5 cm),,Gift of Gertrude Vanderbilt Whitney
31.11,PC,Paintings,Lucile Blanch,Blanch Lucile,Flowers,1927,1927,Oil on linen,Overall: 22 x 15in. (55.9 x 38.1 cm),,Gift of Gertrude Vanderbilt Whitney
31.113,PC,Paintings,Julius Bloch,Bloch Julius,Sisters,-1930,1930,Oil on canvas,Overall: 30 1/8 x 36in. (76.5 x 91.4 cm),,Purchase
31.114,PC,Paintings,Oscar Bluemner,Bluemner Oscar,Old Canal Port,-1914,1914,Oil on canvas,Overall: 30 1/4 x 40 1/4in. (76.8 x 102.2 cm),,Gift of Gertrude Vanderbilt Whitney
31.115,PC,Paintings,Oscar Bluemner,Bluemner Oscar,Last Evening of the Year,(c. 1929),1929,Oil on composition board,Overall: 14 x 10in. (35.6 x 25.4 cm),,Gift of Juliana Force
31.116,PC,Paintings,Jerome Blum,Blum Jerome,The Road Around the Island,(1920-1921),1920,Oil on linen,Overall: 33 3/4 x 45 3/4in. (85.7 x 116.2 cm),,Gift of Gertrude Vanderbilt Whitney
31.117,PC,Paintings,Adolphe Borie,Borie Adolphe,Seated Nude,(c. 1920),1919,Oil on canvas,Overall: 39 3/16 x 32 3/16in. (99.5 x 81.8 cm),,Purchase
31.118,PC,Paintings,Louis Bouché,Bouché Louis,Arrangement,1930,1930,Oil on canvas,Overall: 30 x 20in. (76.2 x 50.8 cm),,Gift of Gertrude Vanderbilt Whitney
31.119,PC,Paintings,Louis Bouché,Bouché Louis,Still Life,1927,1927,Oil on canvas,Overall: 13 7/8 x 17 1/8in. (35.2 x 43.5 cm),Oil on canvas mounted on wood,Gift of Gertrude Vanderbilt Whitney
31.12,PC,Paintings,Fiske Boyd,Boyd Fiske,Still Life,1924,1924,Oil on cardboard,Overall: 13 3/4 x 16 3/16in. (34.9 x 41.1 cm),,Gift of Gertrude Vanderbilt Whitney
31.122,PC,Paintings,Alexander Brook,Brook Alexander,"Bouquet, II",1924,1924,Oil on linen,Overall: 36 1/8 x 20 1/4in. (91.8 x 51.4 cm),,Gift of Gertrude Vanderbilt Whitney
31.123,PC,Paintings,Alexander Brook,Brook Alexander,"Bouquet, I",1924,1924,Oil on canvas,"Overall: 36 x 19 15/16in. (91.4 x 50.6 cm)
Image: 35 5/8 x 19 5/8in. (90.5 x 49.8 cm)",,Gift of Juliana Force
31.124,PC,Paintings,Alexander Brook,Brook Alexander,Girl with Flower,1930,1930,Oil on canvas,Overall: 34 3/16 x 26 1/8in. (86.8 x 66.4 cm),,Gift of Gertrude Vanderbilt Whitney
31.128,PC,Paintings,Charles Burchfield,Burchfield Charles,Winter Twilight,1930,1930,Oil on composition board and canvas,"Overall: 27 13/16 x 30 5/8in. (70.6 x 77.8 cm)
Image: 27 1/4 x 30 5/8in. (69.2 x 77.8 cm)",,Purchase
31.131,PC,Paintings,Henri Burkhard,Burkhard Henri,Flower Arrangement,n.d.,0,Oil on canvas,Overall: 32 3/16 x 28 1/16in. (81.8 x 71.3 cm),,Gift of Gertrude Vanderbilt Whitney
31.135,PC,Paintings,Henri Burkhard,Burkhard Henri,Table Tops,(c. 1928),1928,Oil on linen,Overall: 50 x 42 1/8in. (127 x 107 cm),,Gift of Gertrude Vanderbilt Whitney
31.136,PC,Paintings,Paul Burlin,Burlin Paul,Street Scene,-1922,1922,Oil on linen,Overall: 23 9/16 x 28 3/4in. (59.8 x 73 cm),,Gift of Gertrude Vanderbilt Whitney
31.137,PC,Paintings,Bryson Burroughs,Burroughs Bryson,Island of Naxos,1928,1928,Oil on linen,Overall: 40 x 36 1/16in. (101.6 x 91.6 cm),,Purchase
31.138,PC,Paintings,Peter Cammarata,Cammarata Peter,Still Life,1926,1926,Oil on canvas,Overall: 28 x 24 1/16in. (71.1 x 61.1 cm),,Gift of Gertrude Vanderbilt Whitney
31.139a-b,PC,Paintings,Blendon Campbell,Campbell Blendon,Alice,1914,1914,Oil on canvas,Overall: 27 x 21in. (68.6 x 53.3 cm),,Gift of Gertrude Vanderbilt Whitney
31.14,PC,Paintings,Blendon Campbell,Campbell Blendon,Zinnias,-1927,1927,Oil on cardboard,Overall: 16 1/4 x 13 1/8in. (41.3 x 33.3 cm),,Gift of Gertrude Vanderbilt Whitney
31.143,PC,Paintings,Vincent Canade,Canade Vincent,Self-Portrait,n.d.,0,Oil on burlap mounted on cardboard,Overall: 11 1/2 x 9 1/2in. (29.2 x 24.1 cm),,Gift of Gertrude Vanderbilt Whitney
31.15,PC,Paintings,Robert W. Chanler,Chanler Robert W.,Carl Van Doren,(c. 1920),1920,Oil on linen,Overall: 36 1/8 x 24 3/16in. (91.8 x 61.4 cm),,Gift of Gertrude Vanderbilt Whitney
31.153,PC,Paintings,Glenn O. Coleman,Coleman Glenn O.,The Arch,(c. 1927),1927,Oil on canvas,Overall: 30 1/8 x 25 3/16in. (76.5 x 64 cm),,Gift of Gertrude Vanderbilt Whitney
31.154,PC,Paintings,Glenn O. Coleman,Coleman Glenn O.,Downtown Street,1926,1926,Oil on linen,Overall: 33 3/16 x 44 1/8in. (84.3 x 112.1 cm),,Gift of Gertrude Vanderbilt Whitney
31.155,PC,Paintings,Glenn O. Coleman,Coleman Glenn O.,The Mirror,1927,1927,Oil on canvas,Overall: 30 1/4 x 25 5/16 x 1 1/4in. (76.8 x 64.3 x 3.2 cm),,Gift of Gertrude Vanderbilt Whitney
31.156,PC,Paintings,Arthur Crisp,Crisp Arthur,Adam and Eve,(c. 1918),1918,Oil and metal leaf on composition board,Overall: 22 1/16 x 30 1/8in. (56 x 76.5 cm),Oil and gold leaf on composition board,Gift of Gertrude Vanderbilt Whitney
31.157,PC,Paintings,John Cunning,Cunning John,Old Dock,-1927,1927,Oil on canvas,Overall: 28 3/16 x 25in. (71.6 x 63.5 cm),,Gift of Gertrude Vanderbilt Whitney
31.159,PC,Paintings,John Steuart Curry,Curry John Steuart,Baptism in Kansas,-1928,1928,Oil on canvas,Overall: 40 1/4 x 50 1/4in. (102.2 x 127.6 cm),,Gift of Gertrude Vanderbilt Whitney
31.161,PC,Paintings,John Steuart Curry,Curry John Steuart,The Stockman,-1929,1929,Oil on linen,Overall: 52 1/16 x 40 1/4in. (132.2 x 102.2 cm),,Purchase
31.162,PC,Paintings,Howard G. Cushing,Cushing Howard G.,Mrs. Harry Payne Whitney,1902,1902,Oil on canvas,Overall: 24 1/8 x 20in. (61.3 x 50.8 cm),,Gift of Gertrude Vanderbilt Whitney
31.163,PC,Paintings,Andrew Dasburg,Dasburg Andrew,Apples,-1929,1929,Oil on canvas,Overall: 16 1/16 x 24 1/4in. (40.8 x 61.6 cm),,Purchase
31.164,PC,Paintings,Randall Davey,Davey Randall,Hurdle Race,-1930,1930,Oil on canvas,Overall: 26 x 32in. (66 x 81.3 cm),,Purchase
31.166,PC,Paintings,Arthur B. Davies,Davies Arthur B.,Crescendo,-1910,1910,Oil on canvas,Overall: 18 x 40in. (45.7 x 101.6 cm),,Gift of Gertrude Vanderbilt Whitney
31.167,PC,Paintings,Arthur B. Davies,Davies Arthur B.,Sybil Returning to Cumae,1910,1910,Oil on canvas,Overall: 23 x 28in. (58.4 x 71.1 cm),,Purchase
31.168,PC,Paintings,Arthur B. Davies,Davies Arthur B.,Tiptoeing Youth,-1910,1910,Oil on canvas,"Overall: 18 1/16 x 39 13/16in. (45.9 x 101.1 cm)
Image: 17 1/2 x 39 5/8in. (44.5 x 100.6 cm)",,Purchase
31.169,PC,Paintings,Stuart Davis,Davis Stuart,Egg Beater No. 1,-1927,1927,Oil on linen,Overall: 29 3/16 x 36 3/16in. (74.1 x 91.9 cm),,Gift of Gertrude Vanderbilt Whitney
31.17,PC,Paintings,Stuart Davis,Davis Stuart,Place Pasdeloup,-1928,1928,Oil on canvas,Overall: 36 3/8 x 29in. (92.4 x 73.7 cm),,Gift of Gertrude Vanderbilt Whitney
31.171,PC,Paintings,Stuart Davis,Davis Stuart,Early American Landscape,1925,1925,Oil on canvas,Overall: 19 3/16 x 22 3/16in. (48.7 x 56.4 cm),,Gift of Juliana Force
31.172,PC,Paintings,Charles Demuth,Demuth Charles,My Egypt,1927,1927,"Oil, fabricated chalk, and graphite pencil on composition board",Overall: 35 15/16 x 30in. (91.3 x 76.2 cm),"Oil, Conte crayon, and graphite pencil on composition board","Purchase, with funds from Gertrude Vanderbilt Whitney"
31.173,PC,Paintings,Preston Dickinson,Dickinson Preston,Industry,(c. 1923),1923,Oil on canvas,Overall: 30 x 24in. (76.2 x 61 cm),,Gift of Gertrude Vanderbilt Whitney
31.174,PC,Paintings,Stuart Davis,Davis Stuart,New Mexican Landscape,1923,1923,Oil on canvas,Overall: 22 1/16 x 32 3/16in. (56 x 81.8 cm),,Gift of Gertrude Vanderbilt Whitney
