Last Name,First Name,Display Name,Begin Date,End Date,Display Date,City ,State,Country,Subcontinent,Continen,ConstituentID
Bianco,Pamela,Pamela Bianco,"1,906","1,995",1906-1995,London,,England,Great Britain,Europe,112
Biddle,George,George Biddle,"1,885","1,973",1885-1973,Philadelphia,Pennsylvania,United States of America,Central North America,North America,113
Billings,Henry,Henry Billings,"1,901","1,987",1901-1987,Bronxville,New York,United States of America,Central North America,North America,117
Bishop,Isabel,Isabel Bishop,"1,902","1,988",1902-1988,Cincinnati,Ohio,United States of America,Central North America,North America,122
Blanch,Arnold,Arnold Blanch,"1,896","1,968",1896-1968,Mantorville,Minnesota,United States of America,Central North America,North America,125
Blanch,Lucile,Lucile Blanch,"1,895","1,981",1895-1981,Hawley,Minnesota,United States of America,Central North America,North America,126
Bloch,Julius,Julius Bloch,"1,888","1,966",1888-1966,Kehl,,Germany,Central Europe,Europe,130
Bluemner,Oscar,Oscar Bluemner,"1,867","1,938",1867-1938,Prenzlau,,Germany,Central Europe,Europe,133
Blum,Jerome,Jerome Blum,"1,884","1,956",1884-1956,Chicago,Illinois,United States of America,Central North America,North America,135
Blume,Peter,Peter Blume,"1,906","1,992",1906-1992,Smorgon,,Russia,Eurasia,,138
Bohrod,Aaron,Aaron Bohrod,"1,907","1,992",1907-1992,Chicago,Illinois,United States of America,Central North America,North America,144
Borie,Adolphe,Adolphe Borie,"1,877","1,934",1877-1934,Philadelphia,Pennsylvania,United States of America,Central North America,North America,149
Bouché,Louis,Louis Bouché,"1,869","1,969",1869-1969,New York,New York,United States of America,Central North America,North America,155
Bowes,Julian,Julian Bowes,"1,894",0,1894-,New York,New York,United States of America,Central North America,North America,160
Boyd,Fiske,Fiske Boyd,"1,895","1,975",1895-1975,Philadelphia,Pennsylvania,United States of America,Central North America,North America,163
Braught,Ross,Ross Braught,"1,898","1,983",1898-1983,Carlisle,Pennsylvania,United States of America,Central North America,North America,168
Brook,Alexander,Alexander Brook,"1,898","1,980",1898-1980,Brooklyn,New York,United States of America,Central North America,North America,180
Brooks,James,James Brooks,"1,906","1,992",1906-1992,St. Louis,Missouri,United States of America,Central North America,North America,181
Brown,Sonia Gordon,Sonia Gordon Brown,"1,894","1,966",1894-1966,Moscow,,Russia,Eurasia,,186
Bruce,Edward,Edward Bruce,"1,879","1,943",1879-1943,Dover Plain,New York,United States of America,Central North America,North America,189
Buller,Audrey,Audrey Buller,"1,902","1,984",1902-1984,Montreal,,Canada,Northern North America,North America,194
Burchfield,Charles,Charles Burchfield,"1,893","1,967",1893-1967,Ashtabula,Ohio,United States of America,Central North America,North America,197
Burck,Jacob,Jacob Burck,"1,904","1,982",1904-1982,Visoky,,Poland,Central Europe,Europe,198
Burkhard,Henri,Henri Burkhard,"1,882","1,956",1882-1956,(not specified),New York,United States of America,Central North America,North America,199
Burlin,Paul,Paul Burlin,"1,886","1,969",1886-1969,(not specified),New York,United States of America,Central North America,North America,200
Burliuk,David,David Burliuk,"1,882","1,967",1882-1967,Kharkov,,Ukraine,Eurasia,,201
Burroughs,Bryson,Bryson Burroughs,"1,869","1,934",1869-1934,Hyde Park,Massachusetts,United States of America,Central North America,North America,203
Butler,Andrew,Andrew Butler,"1,896","1,979",1896-1979,Yonkers,New York,United States of America,Central North America,North America,206
Cadmus,Paul,Paul Cadmus,"1,904","1,999",1904-1999,New York,New York,United States of America,Central North America,North America,210
Cammarata,Peter,Peter Cammarata,"1,887",0,1887-,Alimena,,Italy,Southern Europe,Europe,219
Campbell,Blendon,Blendon Campbell,"1,872","1,969",1872-1969,St. Louis,Missouri,United States of America,Central North America,North America,222
Campbell,Charles,Charles Campbell,"1,905","1,985",1905-1985,Dayton,Ohio,United States of America,Central North America,North America,223
Canade,Vincent,Vincent Canade,"1,879","1,961",1879-1961,San Giorgio Albane,Cosenza,Italy,Southern Europe,Europe,225
Carroll,John,John Carroll,"1,892","1,959",1892-1959,Wichita,Kansas,United States of America,Central North America,North America,236
Carter,Clarence Holbrook,Clarence Holbrook Carter,"1,904","2,000",1904-2000,Portsmouth,Ohio,United States of America,Central North America,North America,237
Castellón,Federico,Federico Castellón,"1,914","1,971",1914-1971,Almeria,,Spain,Southern Europe,Europe,242
Chanler,Robert,Robert W. Chanler,"1,873","1,930",1873-1930,New York,New York,United States of America,Central North America,North America,250
Cikovsky,Nicolai,Nicolai Cikovsky,"1,894","1,984",1894-1984,Pinsk,,Russia,Eurasia,,267
Citron,Minna,Minna Citron,"1,896","1,991",1896-1991,Newark,New Jersey,United States of America,Central North America,North America,268
Clemens,Paul Lewis,Paul Lewis Clemens,"1,911","1,991",1911-1991,Superior,Wisconsin,United States of America,Central North America,North America,271
Coiner,Charles T.,Charles T. Coiner,"1,898","1,989",1898-1989,Santa Barbara,California,United States of America,Central North America,North America,279
Coleman,Glenn O.,Glenn O. Coleman,"1,887","1,932",1887-1932,Springfield,Ohio,United States of America,Central North America,North America,280
Cook,Howard,Howard Cook,"1,901","1,980",1901-1980,Springfield,Massachusetts,United States of America,Central North America,North America,287
Corbino,Jon,Jon Corbino,"1,905","1,964",1905-1964,Vittoria,Sicily,Italy,Southern Europe,Europe,291
Corcos,Lucille,Lucille Corcos,"1,908","1,973",1908-1973,(not specified),New York,United States of America,Central North America,North America,292
Costigan,John,John Edward Costigan,"1,888","1,972",1888-1972,Providence,Rhode Island,United States of America,Central North America,North America,294
Cramer,Konrad,Konrad Cramer,"1,888","1,963",1888-1963,Wurtzburg,,Germany,Central Europe,Europe,299
Crawford,Ralston,Ralston Crawford,"1,906","1,978",1906-1978,St. Catharines,Ontario,Canada,Northern North America,North America,301
Criss,Francis,Francis Criss,"1,901","1,973",1901-1973,London,,England,Great Britain,Europe,304
Culver,Charles,Charles Culver,"1,908","1,967",1908-1967,Chicago,Illinois,United States of America,Central North America,North America,305
Curry,John Steuart,John Steuart Curry,"1,897","1,946",1897-1946,Dunavant,Kansas,United States of America,Central North America,North America,310
Cushing,Howard G.,Howard G. Cushing,"1,869","1,916",1869-1916,Boston,Massachusetts,United States of America,Central North America,North America,311
Custer,Bernadine,Bernadine Custer,"1,900","1,991",1900-1991,Normal,Illinois,United States of America,Central North America,North America,314
Daniel,Lewis C.,Lewis C. Daniel,"1,901","1,952",1901-1952,(not specified),New York,United States of America,Central North America,North America,316
Dasburg,Andrew,Andrew Dasburg,"1,887","1,979",1887-1979,Paris,,France,Western Europe,Europe,319
Davey,Randall,Randall Davey,"1,887","1,964",1887-1964,East Orange,New Jersey,United States of America,Central North America,North America,322
Davidson,Jo,Jo Davidson,"1,883","1,952",1883-1952,New York,New York,United States of America,Central North America,North America,323
Davies,Arthur B.,Arthur B. Davies,"1,862","1,928",1862-1928,Utica,New York,United States of America,Central North America,North America,324
Davis,Emma Lu,Emma Lu Davis,"1,905","1,988",1905-1988,Indianapolis,Indiana,United States of America,Central North America,North America,326
Davis,Hubert,Hubert Davis,"1,902","1,981",1902-1981,Milton,Pennsylvania,United States of America,Central North America,North America,328
Davis,Stuart,Stuart Davis,"1,892","1,964",1892-1964,Philadelphia,Pennsylvania,United States of America,Central North America,North America,330
de Creeft,José,José de Creeft,"1,884","1,982",1884-1982,Guadalajara,,Spain,Southern Europe,Europe,336
Dehn,Adolf,Adolf Dehn,"1,895","1,968",1895-1968,Waterville,Minnesota,United States of America,Central North America,North America,338
deMartelly,John,John Stockton deMartelly,"1,903","1,979",1903-1979,Philadelphia,Pennsylvania,United States of America,Central North America,North America,342
Demuth,Charles,Charles Demuth,"1,883","1,935",1883-1935,Lancaster,Pennsylvania,United States of America,Central North America,North America,344
Dickinson,Preston,Preston Dickinson,"1,891","1,930",1891-1930,(not specified),New York,United States of America,Central North America,North America,355
Diederich,Hunt,Hunt Diederich,"1,884","1,953",1884-1953,(not specified),,Hungary,Central Europe,Europe,357
Dirk,Nathaniel,Nathaniel Dirk,"1,895","1,961",1895-1961,Brooklyn,New York,United States of America,Central North America,North America,363
Dohanos,Stevan,Stevan Dohanos,"1,907","1,994",1907-1994,Lorain,Ohio,United States of America,Central North America,North America,368
Donnelly,Thomas,Thomas Donnelly,"1,893","1,971",1893-1971,"Washington, D.C.",,United States of America,Central North America,North America,370
Dozier,Otis,Otis Dozier,"1,904","1,987",1904-1987,Forney,Texas,United States of America,Central North America,North America,375
Driggs,Elsie,Elsie Driggs,"1,895","1,992",1895-1992,Hartford,Connecticut,United States of America,Central North America,North America,378
Du Bois,Guy Pène,Guy Pène Du Bois,"1,884","1,958",1884-1958,Brooklyn,New York,United States of America,Central North America,North America,383
Duffy,Edmund,Edmund Duffy,"1,889","1,962",1889-1962,Jersey City,New Jersey,United States of America,Central North America,North America,385
Dwight,Mabel,Mabel Dwight,"1,876","1,955",1876-1955,Cincinnati,Ohio,United States of America,Central North America,North America,388
Eberle,Abastenia St. Leger,Abastenia St. Leger Eberle,"1,878","1,942",1878-1942,Webster City,Iowa,United States of America,Central North America,North America,392
Edie,Stuart,Stuart Edie,"1,908","1,974",1908-1974,Wichita Falls,Texas,United States of America,Central North America,North America,395
Eilshemius,Louis M.,Louis M. Eilshemius,"1,864","1,941",1864-1941,Arlington,New Jersey,United States of America,Central North America,North America,397
Esherick,Wharton,Wharton Esherick,"1,887","1,970",1887-1970,Philadelphia,Pennsylvania,United States of America,Central North America,North America,403
Etting,Emlen,Emlen Etting,"1,905","1,993",1905-1993,Philadelphia,Pennsylvania,United States of America,Central North America,North America,405
Evergood,Philip,Philip Evergood,"1,901","1,973",1901-1973,New York,New York,United States of America,Central North America,North America,407
Faggi,Alfeo,Alfeo Faggi,"1,885","1,966",1885-1966,Sesto Fiorentino,,Italy,Southern Europe,Europe,411
Farnsworth,Jerry,Jerry Farnsworth,"1,895","1,983",1895-1983,Dalton,Georgia,United States of America,Central North America,North America,413
Fausett,Dean,Dean Fausett,"1,913",0,1913-,Price,Utah,United States of America,Central North America,North America,414
Feininger,Lyonel,Lyonel Feininger,"1,871","1,956",1871-1956,New York,New York,United States of America,Central North America,North America,417
Ferguson,Duncan,Duncan Ferguson,"1,901","1,974",1901-1974,Shanghai,,Chia,,Asia,420
Fiene,Ernest,Ernest Fiene,"1,894","1,965",1894-1965,Elberfeld,Rhineland,Germany,Central Europe,Europe,425
Fiene,Paul,Paul Fiene,"1,899","1,949",1899-1949,Elberfeld,,Germany,Central Europe,Europe,426
Filmus,Tully,Tully Filmus,"1,903","1,998",1903-1998,Ataki,Bessarabia,Russia,Eurasia,,427
Flannagan,John B.,John B. Flannagan,"1,895","1,942",1895-1942,Fargo,North Dakota,United States of America,Central North America,North America,437
Frame,Walter K.,Walter K. Frame,"1,895","1,957",1895-1957,Oneida,Illinois,United States of America,Central North America,North America,448
Freeman,Don,Don Freeman,"1,908","1,978",1908-1978,San Diego,California,United States of America,Central North America,North America,459
French,Daniel Chester,Daniel Chester French,"1,850","1,931",1850-1931,Exeter,New Hampshire,United States of America,Central North America,North America,461
French,Jared,Jared French,"1,905","1,988",1905-1988,Ossining,New York,United States of America,Central North America,North America,462
Froelich,Paul,Paul Froelich,"1,897","1,968",1897-1968,Philadelphia,Pennsylvania,United States of America,Central North America,North America,466
Fry,Sherry,Sherry Fry,"1,879","1,966",1879-1966,Dreston,Iowa,United States of America,Central North America,North America,468
Gaertner,Carl,Carl Gaertner,"1,898","1,952",1898-1952,Cleveland,Ohio,United States of America,Central North America,North America,471
Gag,Wanda,Wanda Gag,"1,893","1,946",1893-1946,New Ulm,Minnesota,United States of America,Central North America,North America,472
Ganso,Emil,Emil Ganso,"1,895","1,941",1895-1941,Halberstadt,,Germany,Central Europe,Europe,475
Gerald,E. Bart,E. Bart Gerald,"1,907",0,1907-,Cleveland,Ohio,United States of America,Central North America,North America,485
Gershoy,Eugenie,Eugenie Gershoy,"1,905","1,986",1905-1986,Krivoi Rog,,Russia,Eurasia,,486
Glackens,William,William Glackens,"1,870","1,938",1870-1938,Philadelphia,Pennsylvania,United States of America,Central North America,North America,493
Goff,Lloyd Lozes,Lloyd Lozes Goff,"1,917","1,982",1917-1982,Dallas,Texas,United States of America,Central North America,North America,497
Goldthwaite,Anne,Anne Goldthwaite,"1,869","1,944",1869-1944,Montgomery,Alabama,United States of America,Central North America,North America,501
Gorky,Arshile,Arshile Gorky,"1,897","1,948",c. 1902-1948,Khorkom,,Armenia,Eurasia,,510
Gottlieb,Harry,Harry Gottlieb,"1,885","1,993",1885-1993,Bucharest,,Rumania,Eastern Europe,Europe,512
Grafly,Charles,Charles Grafly,"1,862","1,929",1862-1929,Philadelphia,Pennsylvania,United States of America,Central North America,North America,513
Graham,John D.,John D. Graham,"1,886","1,961",1886-1961,Kiev,,Ukraine,Eurasia,,515
Graves,Morris,Morris Graves,"1,910","2,001",1910-2001,Fox Valley,Oregon,United States of America,Central North America,North America,518
Greenbaum,Dorothea,Dorothea Greenbaum,"1,893","1,986",1893-1986,Brooklyn,New York,United States of America,Central North America,North America,522
Greene,Balcomb,Balcomb Greene,"1,904","1,990",1904-1990,Niagara Falls,New York,United States of America,Central North America,North America,523
Greitzer,Jack J.,Jack J. Greitzer,"1,910","1,989",1910-1989,(not specified),New York,United States of America,Central North America,North America,527
Gropper,William,William Gropper,"1,897","1,977",1897-1977,New York,New York,United States of America,Central North America,North America,535
Gross,Chaim,Chaim Gross,"1,904","1,991",1904-1991,Wolowa,,Austria,Central Europe,Europe,536
Gross,Sidney,Sidney Gross,"1,921","1,969",1921-1969,(not specified),New York,United States of America,Central North America,North America,537
Grosz,George,George Grosz,"1,893","1,959",1893-1959,Berlin,,Germany,Central Europe,Europe,540
Guglielmi,Louis,Louis Guglielmi,"1,906","1,956",1906-1956,Cairo,,Egypt,Northern Africa,Africa,542
Gussow,Bernar,Bernar Gussow,"1,881","1,957",1881-1957,(not specified),,Russia,Eastern Europe,Europe,543
Hall,Carl,Carl Hall,"1,921","1,996",1921-1996,"Washington, D.C.",,United States of America,Central North America,North America,554
Halpert,Samuel,Samuel Halpert,"1,888","1,985",1888-1985,Bialystock,,Russia,Eurasia,,557
Handforth,Thomas,Thomas Handforth,"1,897","1,948",1897-1948,Tacoma,Washington,United States of America,Central North America,North America,558
Harari,Hananiah,Hananiah Harari,"1,912","2,000",1912-2000,Rochester,Indiana,United States of America,Central North America,North America,561
Harriton,Abraham,Abraham Harriton,"1,883","1,986",1883-1986,Bucharest,,Rumania,Eastern Europe,Europe,567
Hart,George O. (Pop),George Overbury (Pop) Hart,"1,868","1,933",1868-1933,Cairo,,Egypt,Northern Africa,Africa,568
Hartl,Léon,Léon Hartl,"1,889","1,973",1889-1973,Paris,,France,Western Europe,Europe,571
Hartley,Marsden,Marsden Hartley,"1,877","1,943",1877-1943,Lewiston,Maine,United States of America,Central North America,North America,572
Hartman,Bertram,Bertram Hartman,"1,882","1,960",1882-1960,Junction City,Kansas,United States of America,Central North America,North America,573
Hartman,Rosella,Rosella Hartman,"1,894","1,984",1894-1984,Junction City,Kansas,United States of America,Central North America,North America,574
Haseltine,Herbert,Herbert Haseltine,"1,877","1,962",1877-1962,Rome,,Italy,Southern Europe,Europe,577
Hassam,Childe,Childe Hassam,"1,859","1,935",1859-1935,Dorchester,Massachusetts,United States of America,Central North America,North America,578
Haucke,Frederick,Frederick Haucke,"1,908","1,960",1908 - 1960,Kimberley,,South Africa,Southern Africa,Africa,583
Hebald,Milton,Milton Hebald,"1,917","2,015",1917-2015,(not specified),New York,United States of America,Central North America,North America,589
Heckman,Albert,Albert Heckman,"1,893","1,971",1893-1971,Meadville,Pennsylvania,United States of America,Central North America,North America,590
Heliker,John,John Heliker,"1,909","2,000",1909-2000,Yonkers,New York,United States of America,Central North America,North America,596
Henri,Robert,Robert Henri,"1,865","1,929",1865-1929,Cincinnati,Ohio,United States of America,Central North America,North America,597
Hering,Harry,Harry Hering,"1,887","1,967",1887-1967,(not specified),New York,United States of America,Central North America,North America,600
Higgins,Eugene,Eugene Higgins,"1,874","1,958",1874-1958,Kansas City,Missouri,United States of America,Central North America,North America,603
Hirsch,Joseph,Joseph Hirsch,"1,910","1,981",1910-1981,Philadelphia,Pennsylvania,United States of America,Central North America,North America,606
Hirsch,Stefan,Stefan Hirsch,"1,899","1,964",1899-1964,Nuremberg,,Germany,Central Europe,Europe,607
Hoffman,Malvina,Malvina Hoffman,"1,887","1,966",1887-1966,(not specified),New York,United States of America,Central North America,North America,610
Holzhauer,Emil,Emil Holzhauer,"1,887","1,986",1887-1986,Schwab-Gmund,,Germany,Central Europe,Europe,616
Hondius,Gerrit,Gerrit Hondius,"1,901","1,970",1901-1970,Kampen,Holland,Netherlands,Northern Europe,Europe,618
Horter,Earl,Earl Horter,"1,881","1,940",1881-1940,Philadelphia,Pennsylvania,United States of America,Central North America,North America,622
Houmere,Walter,Walter Houmere,"1,895",0,1895-,Lausanne,,Switzerland,Western Europe,Europe,623
"House, Jr.",James,"James House, Jr.","1,902","1,934",1902-1934,Benton Harbor,Michigan,United States of America,Central North America,North America,624
Howard,Cecil,Cecil de Blaquiere Howard,"1,888","1,956",1888-1956,Clifton,,Canada,Northern North America,North America,625
Howland,Isabella,Isabella Howland,"1,895","1,974",1895-1974,Brookline,Massachusetts,United States of America,Central North America,North America,626
Huntley,Victoria Hutson,Victoria Hutson Huntley,"1,900","1,971",1900-1971,Hasbrouck Heights,New Jersey,United States of America,Central North America,North America,635
Jones,Joe,Joe Jones,"1,909","1,963",1909-1963,St. Louis,Missouri,United States of America,Central North America,North America,661
Kane,John,John Kane,"1,860","1,934",1860-1934,West Calder,,Scotland,Great Britain,Europe,670
Kantor,Morris,Morris Kantor,"1,896","1,974",1896-1974,Minsk,Belorussia,Russia,Eurasia,,672
Karfiol,Bernard,Bernard Karfiol,"1,886","1,952",1886-1952,Budapest,,Hungary,Central Europe,Europe,674
Keller,Henry G.,Henry G. Keller,"1,869","1,949",1869-1949,(not specified),Nova Scotia,Canada,Northern North America,North America,687
Kelly,Leon,Leon Kelly,"1,901","1,982",1901-1982,Perpignan,,France,Western Europe,Europe,689
Kent,Rockwell,Rockwell Kent,"1,882","1,971",1882-1971,Tarrytown Heights,New York,United States of America,Central North America,North America,694
Kingman,Dong,Dong Kingman,"1,911","2,000",1911-2000,Oakland,California,United States of America,Central North America,North America,700
Kittredge,Kraemer,Kraemer Kittredge,"1,905",0,1905-,Clinton,Massachusetts,United States of America,Central North America,North America,705
Koerner,Henry,Henry Koerner,"1,915","1,991",1915-1991,Vienna,,Austria,Central Europe,Europe,713
Kopman,Benjamin,Benjamin Kopman,"1,887","1,965",1887-1965,Vitebsk,Belorussia,Russia,Eurasia,,717
Kreis,Henry,Henry Kreis,"1,899","1,963",1899-1963,Essen,,Germany,Central Europe,Europe,723
Kroll,Leon,Leon Kroll,"1,884","1,974",1884-1974,(not specified),New York,United States of America,Central North America,North America,726
Kuehne,Max,Max Kuehne,"1,880","1,968",1880-1968,Halle,,Germany,Central Europe,Europe,729
Kuhn,Walt,Walt Kuhn,"1,877","1,949",1877-1949,New York,New York,United States of America,Central North America,North America,730
Kuniyoshi,Yasuo,Yasuo Kuniyoshi,"1,889","1,953",1889-1953,Okayama,,Japan,Eastern Asia,Asia,732
Lachaise,Gaston,Gaston Lachaise,"1,882","1,935",1882-1935,Paris,,France,Western Europe,Europe,737
Lahey,Richard,Richard Lahey,"1,893","1,978",1893-1978,Jersey City,New Jersey,United States of America,Central North America,North America,740
Laning,Edward,Edward Laning,"1,906","1,981",1906-1981,Petersburg,Illinois,United States of America,Central North America,North America,751
Lankes,J.J.,J.J. Lankes,"1,884","1,960",1884-1960,Buffalo,New York,United States of America,Central North America,North America,752
Laufman,Sidney,Sidney Laufman,"1,891","1,985",1891-1985,Cleveland,Ohio,United States of America,Central North America,North America,757
Laurent,Robert,Robert Laurent,"1,890","1,970",1890-1970,Concarneau,Brittany,France,Western Europe,Europe,758
Lawrence,Jacob,Jacob Lawrence,"1,917","2,000",1917-2000,Atlantic City,New Jersey,United States of America,Central North America,North America,759
Lawson,Ernest,Ernest Lawson,"1,873","1,939",1873-1939,Halifax,Nova Scotia,Canada,,North America,760
Lebrun,Rico,Rico Lebrun,"1,900","1,964",1900-1964,Naples,,Italy,Southern Europe,Europe,762
Lee,Arthur,Arthur Lee,"1,881","1,961",1881-1961,Trondheim,,Norway,Northern Europe,Europe,763
Levi,Julian,Julian Levi,"1,900","1,982",1900-1982,(not specified),New York,United States of America,Central North America,North America,771
Lewis,Martin,Martin Lewis,"1,881","1,962",1881-1962,Castlemaine,,Australia,Australia,,775
Liberte,L. Jean,L. Jean Liberte,"1,896","1,965",1896-1965,Brooklyn,New York,United States of America,Central North America,North America,778
Limbach,Russell,Russell Limbach,"1,904","1,971",1904-1971,Massillon,Ohio,United States of America,Central North America,North America,780
Locke,Charles,Charles Locke,"1,899","1,983",1899-1983,Cincinnati,Ohio,United States of America,Central North America,North America,790
Lockwood,John Ward,John Ward Lockwood,"1,894","1,963",1894-1963,Atchinson,Kansas,United States of America,Central North America,North America,792
Lozowick,Louis,Louis Lozowick,"1,892","1,973",1892-1973,Ludvinovka,,Ukraine,Eurasia,,802
Luce,Molly,Molly Luce,"1,896","1,986",1896-1986,Pittsburgh,Pennsylvania,United States of America,Central North America,North America,804
Lucioni,Luigi,Luigi Lucioni,"1,900","1,988",1900-1988,Malnate,,Italy,Southern Europe,Europe,806
Ludins,Eugene,Eugene Ludins,"1,904",0,1904-,Mariupol,,Russia,Eurasia,,808
Luks,George,George Luks,"1,867","1,933",1867-1933,Williamsport,Pennsylvania,United States of America,Central North America,North America,810
Mager,Gus,Gus Mager,"1,878","1,956",1878-1956,Newark,New Jersey,United States of America,Central North America,North America,821
Maldarelli,Oronzio,Oronzio Maldarelli,"1,893","1,963",1893-1963,Naples,,Italy,Southern Europe,Europe,822
Man Ray,,Man Ray,"1,890","1,976",1890-1976,Philadelphia,Pennsylvania,United States of America,Central North America,North America,"1,075"
Mangravite,Peppino,Peppino Gino Mangravite,"1,896","1,978",1896-1978,Lipari,,Italy,Southern Europe,Europe,829
Margo,Boris,Boris Margo,"1,902","1,995",1902-1995,Wolotschisk,,Russia,Eurasia,,834
Margoulies,Berta,Berta Margoulies,"1,907",0,1907-,Lovitz,,Poland,Central Europe,Europe,835
Marin,John,John Marin,"1,870","1,953",1870-1953,Rutherford,New Jersey,United States of America,Central North America,North America,838
Markham,Kyra,Kyra Markham,"1,891","1,967",1891-1967,Chicago,Illinois,United States of America,Central North America,North America,840
Marsh,Reginald,Reginald Marsh,"1,898","1,954",1898-1954,Paris,,France,Western Europe,Europe,841
Mattson,Henry,Henry Mattson,"1,887","1,971",1887-1971,Gothenburg,,Sweden,Northern Europe,Europe,852
Matulka,Jan,Jan Matulka,"1,890","1,972",1890-1972,Vlachovo Březí,,Czechoslovakia,Central Europe,Europe,853
Maurer,Alfred,Alfred Henry Maurer,"1,868","1,932",1868-1932,New York,New York,United States of America,Central North America,North America,854
McCall,Virginia,Virginia McCall,"1,906",0,1906-,Philadelphia,Pennsylvania,United States of America,Central North America,North America,858
McCarter,Henry,Henry McCarter,"1,866","1,942",1866-1942,Morristown,Pennsylvania,United States of America,Central North America,North America,859
McCosh,David,David McCosh,"1,903","1,981",1903-1981,Cedar Rapids,Iowa,United States of America,Central North America,North America,863
McFee,Henry Lee,Henry Lee McFee,"1,886","1,953",1886-1953,St. Louis,Missouri,United States of America,Central North America,North America,867
McNulty,William C.,William C. McNulty,"1,889","1,963",1889-1963,Ogden,Utah,United States of America,Central North America,North America,874
Mecklem,Austin,Austin Mecklem,"1,894","1,951",1894-1951,Colfax,Washington,United States of America,Central North America,North America,875
Meltsner,Paul R.,Paul R. Meltsner,"1,905","1,966",1905-1966,(not specified),New York,United States of America,Central North America,North America,878
Meyer,Felicia,Felicia Meyer,"1,913","1,978",1913-1978,(not specified),New York,United States of America,Central North America,North America,886
Meyer,Herbert,Herbert Meyer,"1,882","1,960",1882-1960,(not specified),New York,United States of America,Central North America,North America,887
Miller,Harriette G.,Harriette G. Miller,"1,892","1,971",1892-1971,Cleveland,Ohio,United States of America,Central North America,North America,891
Miller,Kenneth Hayes,Kenneth Hayes Miller,"1,876","1,952",1876-1952,Oneida,New York,United States of America,Central North America,North America,893
Moffett,Ross,Ross Moffett,"1,888","1,971",1888-1971,Clearfield,Iowa,United States of America,Central North America,North America,901
Moore,Bruce,Bruce Moore,"1,905","1,980",1905-1980,Bern,Kansas,United States of America,Central North America,North America,906
More,Hermon,Hermon More,"1,887","1,968",1887-1968,Medford,Massachusetts,United States of America,Central North America,North America,907
Morgan,Herbert,Herbert Morgan,"1,907",0,1907-,(not specified),New York,United States of America,Central North America,North America,908
Morgan,Maud,Maud Morgan,"1,903","1,999",1903-1999,(not specified),New York,United States of America,Central North America,North America,909
Morris,George L. K.,George L. K. Morris,"1,905","1,975",1905-1975,(not specified),New York,United States of America,Central North America,North America,913
Morrison,David H.,David H. Morrison,"1,885","1,934",1885-1934,Rawalpindi,,India,Southern Asia,Asia,916
Moselsio,Simon,Simon Moselsio,"1,890","1,963",1890-1963,(not specified),,Russia,Eurasia,,919
Moskowitz,Ira,Ira Moskowitz,"1,912","1,985",1912-1985,Turka,,Poland,Central Europe,Europe,921
Murphy,M. Lois,M. Lois Murphy,"1,901","1,962",1901-1962,Lyons,Kansas,United States of America,Central North America,North America,929
Myers,Jerome,Jerome Myers,"1,867","1,940",1867-1940,Petersburg,Virginia,United States of America,Central North America,North America,932
Nagai,Thomas,Thomas Nagai,"1,886","1,966",1886-1966,Tokyo,,Japan,Eastern Asia,Asia,934
